"Codice","Tipologia Struttura","Denominazione Tipologia Struttura","Denominazione Stabilimento","Denominazione Struttura","Codice Struttura","Sub codice Stabilimento","Codice Azienda","Denominazione Azienda","Anno","Data Apertura Stabilimento","Data Chiusura Stabilimento","Partita IVA","Indirizzo Stabilimento","Codice Comune","Denominazione Comune","Codice Provincia","Denominazione Provincia","CAP Stabilimento","Prefisso telefonico Stabilimento","Telefono Stabilimento","Prefisso FAX (HSP11B)","Fax (HSP11B)","HSP E_MAIL","Website (HSP11B)"
"10809023601","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA POGGIO DEL SOLE","CASA DI CURA POGGIO DEL SOLE","090236","01","108","Az. USL 8 di Arezzo","2015",01/01/1988,31/12/9999,"01952970513","VIA FRA GUITTONE 2","051002","Arezzo","051","AREZZO","52100","0575","27056","0575","333699","casadicura@sdcpoggiodelsole.it","www.centrochirurgicotoscano.it"
"11009022801","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA POGGIO SERENO S.R.L.","CASA DI CURA POGGIO SERENO  srl","090228","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"01252290489","VIA BENEDETTO DA MAIANO 14","048015","Fiesole","048","FIRENZE","50014","055","59138","055","598765","info@poggiosereno.it","www.poggiosereno.it"
"10509023201","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA PRIVATA DELLA MISERICORDIA","CASA DI CURA PRIVATA DELLA MISERICORDIA","090232","01","105","Az. USL 5 di Pisa","2015",01/04/2006,31/12/9999,,"VIA CARLO CAMMEO , 24","050008","Cascina","050","PISA","56023","050","775200",,,,
"10509023301","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA PRIVATA SAN ROSSORE SRLE,15","CASA DI CURA PRIVATA SAN ROSSORE S.R.L.","090233","01","105","Az. USL 5 di Pisa","2015",01/02/1978,31/12/9999,"00125720508","VIALE DELLE CASCINE,152/F","050026","Pisa","050","PISA","56122","050","586111","050","532063","info@sanrossorecura.it","www.sanrossorecura.it"
"10709023901","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA RUGANI","CASA DI CURA RUGANI","090239","01","107","Az. USL 7 di Siena","2015",01/01/1988,31/12/9999,"00256280520","PIAZZA MATTEOTTI 33","052016","Monteriggioni","052","SIENA","53100","0577","261611","0577","271343","rugani@gsante.it","http://www.gsante.it/"
"10809023701","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA SAN GIUSEPPE","CASA DI CURA S.GIUSEPPE","090237","01","108","Az. USL 8 di Arezzo","2015",01/11/1977,31/12/9999,"08531211004","VIA A. SAFFI 33","051002","Arezzo","051","AREZZO","52100","0575","37341","0575","734300","info@sangiuseppehospital.it","www.sangiuseppehospital.it"
"10309020701","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA SANTA RITA","CASA DI CURA S. RITA","090207","01","103","Az. USL 3 di Pistoia","2015",01/01/1984,31/12/9999,"01200680476","V. MANIN N. 29","047011","Montecatini-Terme","047","PISTOIA","51016","0572","92821","0572","911777","ccsrita@tin.it","www.santarita.it"
"11209020201","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA S.CAMILLO","CASA CURA S.CAMILLO-FON. OPERA S.CAMILLO","090202","01","112","Az. USL 12 di Viareggio","2015",01/11/1947,31/12/9999,"06532810964","VIA P.IGNAZIO da CARRARA 37","046013","Forte dei Marmi","046","LUCCA","55042","0584","7391","0584","881545","info@sancamillo.net","www.sancamilloforte.it"
"10509023101","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA SUORE DELL'ADDOLORATA","CASA DI CURA SUORE DELL'ADDOLORATA","090231","01","105","Az. USL 5 di Pisa","2015",01/01/1977,31/12/9999,"00245750500","VIA MANZONI, 13","050026","Pisa","050","PISA","56125","050","45075",,,,
"10209020501","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA S.ZITA","CASA DI CURA S.ZITA","090205","01","102","Az. USL 2 di Lucca","2015",01/03/1958,31/12/9999,"01025910462","VIA DEL PANIFICIO, 13","046017","Lucca","046","LUCCA","55100","0583","46521",,,,
"11009021801","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA ULIVELLA E GLICINI","IFCA SPA Casa di Cura Ulivella e Glicini","090218","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"01300810486","VIA DEL PERGOLINO","048017","Firenze","048","FIRENZE","50139","055","429611","055","4296300","info.ulivellaeglicini@giomi.com","www.giomi.it"
"11009023001","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA VAL DI SIEVE","CASA DI CURA VAL DI SIEVE srl","090230","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"00639790484","VIA FORLIVESE 122","048032","Pelago","048","FIRENZE","50060","055","8391400","055","8391498","valdisieve@tiscali.it","www.valdisieve.it"
"11009021401","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA VILLA CHERUBINI","CASA DI CURA VILLA CHERUBINI PROSPERIUS","090214","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"01432720488","VIA CHERUBINI 8","048017","Firenze","048","FIRENZE","50121","055","572556","055","570106","susannatosetti@prosperius.it","www.prosperius.it"
"11009022501","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA VILLA DELLE TERME S.R.L.","VILLA DELLE TERME SPA","090225","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/01/2015,"01322470483","VIALE MAZZINI 43","048017","Firenze","048","FIRENZE","50132","055","244332","055","2345267","info@villadelleterme.com","www.villadelleterme.it"
"11009021301","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA VILLA DONATELLO","CASA DI CURA VILLA DONATELLO SPA","090213","01","110","Az. USL 10 di Firenze","2015",02/01/1995,31/12/9999,"00393590484","PIAZZALE DONATELLO 14","048017","Firenze","048","FIRENZE","50132","055","50975","055","587349","info@villadonatello.it","www.villadonatello.it"
"10409021001","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA VILLA FIORITA","CASA DI CURA VILLA FIORITA","090210","01","104","Az. USL 4 di Prato","2015",01/01/1975,31/12/9999,"02323750972","VIA DI CANTAGALLO 56","100005","Prato","100","PRATO","59100","0574","4891","0574","690472","m.fiorani@villa-fiorita.it","www.villa-fiorita.it"
"11009021901","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA VILLA MARIA TERESA","VILLA MARIA TERESA HOSPITAL SRL","090219","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"01171680489","VIA DELLA CERNAIA 18","048017","Firenze","048","FIRENZE","50129","055","474741","055","4624451","info-mtn@gvmnet.it","www.asf.toscana.it"
"10609023401","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA VILLA TIRRENA","CASA DI CURA VILLA TIRRENA","090234","01","106","Az. USL 6 di Livorno","2015",01/01/1988,31/12/9999,"00245750500","VIA MONTEBELLO, 102","049009","Livorno","049","LIVORNO","57100","0586","263111",,,,
"10209020601","HSP","STRUTTURA OSPEDALIERA","C.CURA VILLE DI NOZZANO S.STEFANO RIAB.","C.CURA VILLE DI NOZZANO S.STEFANO RIAB.","090206","01","102","Az. USL 2 di Lucca","2015",01/02/1948,31/12/9999,"01148190547","VIA BORDOGNA, 144-NOZZANO","046017","Lucca","046","LUCCA","55050","0583","54911",,,,
"10209020401","HSP","STRUTTURA OSPEDALIERA","C. DI CURA M.D. BARBANTINI SANTA CHIARA","C. DI CURA M.D. BARBANTINI SANTA CHIARA","090204","01","102","Az. USL 2 di Lucca","2015",01/01/1978,31/12/9999,"01641520331","VIA DEL CALCIO, 2","046017","Lucca","046","LUCCA","55100","0583","91971",,,,
"10109024101","HSP","STRUTTURA OSPEDALIERA","Cen. S.Maria alla pineta F.don Gnocchi","Cen.S. Maria alla Pineta  F. don Gnocchi","090241","01","101","Az. USL 1 di Massa Carrara","2015",26/08/2008,,"12520870150","Via istriana N°24","045010","Massa","045","MASSA E CARRARA","54100","0585","863101","0585","225036","s.carlotti@dongnocchi.it","www.dongnocchi.it"
"10809023602","HSP","STRUTTURA OSPEDALIERA","CENTRO CHIRURGICO TOSCANO SRL","CASA DI CURA POGGIO DEL SOLE","090236","02","108","Az. USL 8 di Arezzo","2015",01/01/2012,31/12/9999,"01952970513","VIA DEI LECCI 22","051002","Arezzo","051","AREZZO","52100","0575","33351","0575","27056","casadicura@cdcpoggiodelsole.it","www.poggiodelsole.it"
"11009024301","HSP","STRUTTURA OSPEDALIERA","Centro Day Surgery Maurizio Bufalini srl","Centro Day Surgery Maurizio Bufalini srl","090243","01","110","Az. USL 10 di Firenze","2015",01/01/2014,31/12/9999,"04551810486","Via Gino Capponi 26","048017","Firenze","048","FIRENZE","50121","055","244950","055","2345089","info@centrobufalini.it","www.centrobufalini.it"
"11009022001","HSP","STRUTTURA OSPEDALIERA","CENTRO ONC.CO F.NO C. CURA VILLANOVA SRL","C.  Onc.co F.no Casa di C. Villanova SRL","090220","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"00932450489","VIA ATTILIO RAGIONIERI 101","048043","Sesto Fiorentino","048","FIRENZE","50019","055","5301404","055","4361228","info@centroncologicofiorentino.it","www.centroncologicofiorentino.it"
"10809091101","HSP","STRUTTURA OSPEDALIERA","CENTRO RIABILITAZIONE TERRANUOVA B. SPA","CENTRO RIABILITAZIONE TERRANUOVA B. SPA","090911","01","108","Az. USL 8 di Arezzo","2015",01/04/2004,31/12/9999,"01625140510","P.ZZA VOLONTAZIATO","051026","Montevarchi","051","AREZZO","52025","055","916914","055","916219","a.pellegrino@usl8.toscana.it",
"90709090701","HSP","STRUTTURA OSPEDALIERA","Fondazione CNR-RT G. Monasterio","Fondazione CNR-RT G. Monasterio","090907","01","907","Fondaz. G. Monasterio","2015",01/01/2006,31/12/9999,"01851550507","Via Moruzzi 1","050026","Pisa","050","PISA","56124","050","3153731","050","3153766","protocollo.ftgm@pec.it","http://www.ftgm.it/"
"11009091001","HSP","STRUTTURA OSPEDALIERA","FONDAZIONE DON CARLO GNOCCHI - ONLUS","FONDAZIONE DON CARLO GNOCCHI - ONLUS","090910","01","110","Az. USL 10 di Firenze","2015",01/06/2002,31/12/9999,"12520870150","VIA DI SCANDICCI","048017","Firenze","048","FIRENZE","50143","055","73931","055","2601272","direzione.polotoscana@dongnocchi.it","www.dongnocchi.it"
"90109090601","HSP","STRUTTURA OSPEDALIERA","FONDAZIONE STELLA MARIS - CALAMBRONE","FONDAZIONE STELLA MARIS - CALAMBRONE","090906","01","901","A.O. Pisana","2015",01/09/1970,31/12/9999,"00126240506","VIALE DEL TIRRENO 331 - CALAMBRONE","050026","Pisa","050","PISA","56018","050","886111","050","32214","dirgen@inpe.unipi.it","www.inpe.unipi.it"
"11009063202","HSP","STRUTTURA OSPEDALIERA","ISTITUTO ORTOPEDICO TOSCANO","OSPEDALE FIORENTINO","090632","02","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"04612810483","VIALE MICHELANGELO, 41","048017","Firenze","048","FIRENZE","50125","055","69371","055","6577431","dirsan.palagi@asf.toscana.it","www.asf.toscana.it"
"11009022401","HSP","STRUTTURA OSPEDALIERA","ISTITUTO REUMATOLOGICO MUNARI S.P.A.","ISTITUTO  REUMATOLOGICO  MUNARI  S.R.L","090224","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"06275460480","VIALE GIUSEPPE MAZZINI 38","048017","Firenze","048","FIRENZE","50132","055","241851","055","245928","accettazione@munari.it","www.munari.it"
"11009024401","HSP","STRUTTURA OSPEDALIERA","Life Cronos SRL Villa delle Rose","Life Cronos SRL - Villa delle Rose","090244","01","110","Az. USL 10 di Firenze","2015",16/07/2014,31/12/9999,"00310940978","Cosimo il Vecchio 8/10","048017","Firenze","048","FIRENZE","50139","055","4378039","055","415248","segreteria@lifecronos.it","lifecronos.it"
"10409060801","HSP","STRUTTURA OSPEDALIERA","NUOVO OSPEDALE DI PRATO S.Stefano","NUOVO OSPEDALE DI PRATO S.Stefano","090608","01","104","Az. USL 4 di Prato","2015",01/01/1975,31/12/9999,"01683070971","Via Suor Niccolina Infermiera 20/22","100005","Prato","100","PRATO","59100","0574","801111","0574","570013","dirgen@usl4.toscana.it","www.usl4.toscana.it"
"10809064301","HSP","STRUTTURA OSPEDALIERA","NUOVO OSPEDALE VALDICHIANA S.MARGHERITA","NUOVO OSPEDALE VALDICHIANA S. MARGHERITA","090643","01","108","Az. USL 8 di Arezzo","2015",04/07/2005,31/12/9999,"01458450515","LOC. FRATTA","051017","Cortona","051","AREZZO","52044","0575","91061","0575","254275","urp@usl8.toscana.it","www.usl8.toscana.it"
"11009063206","HSP","STRUTTURA OSPEDALIERA","OBLATE AZIENDA SANITARIA FIRENZE","OSPEDALE FIORENTINO","090632","06","110","Az. USL 10 di Firenze","2015",01/01/2009,31/12/9999,"04612810483","VIA DELLE OBLATE,4","048017","Firenze","048","FIRENZE","50141","055","6939813","055","6939814","dip.salutementale@asf.toscana.it","www.toscana.it"
"10109060102","HSP","STRUTTURA OSPEDALIERA","OSP. civ. S.ANTONIO  PONTREMOLI (MS)","Presidio Ospedaliero  Zona Lunigiana","090601","02","101","Az. USL 1 di Massa Carrara","2015",01/01/1988,31/12/9999,"00294690458","VIA NAZIONALE","045007","Fivizzano","045","MASSA E CARRARA","54027","0187","462211","0187","462305","g.biselli@usl1.toscana.it",
"10809062101","HSP","STRUTTURA OSPEDALIERA","OSPEDALE AREA ARETINA NORD","OSPEDALE AREA ARETINA NORD","090621","01","108","Az. USL 8 di Arezzo","2015",01/01/1995,31/12/9999,"01458450515","VIA P. NENNI","051002","Arezzo","051","AREZZO","52100","0575","3051","0575","258572","urp@usl8.toscana.it","www.usl8.toscana.it"
"10609061201","HSP","STRUTTURA OSPEDALIERA","OSPEDALE CECINA","OSPEDALE CECINA","090612","01","106","Az. USL 6 di Livorno","2015",01/01/1980,31/12/9999,"00615860491","VIA DELLA LADRONAIA","049007","Cecina","049","LIVORNO","57023","0586","614316","0586","614508","b.massei@usl6.toscana.it","www.usl6.toscana.it"
"10909062501","HSP","STRUTTURA OSPEDALIERA","OSPEDALE CIVILE DI CASTELDELPIANO","OSPEDALE CIVILE DI CASTEL DEL PIANO","090625","01","109","Az. USL 9 di Grosseto","2015",01/01/1995,,"00315940536","VIA DANTE ALIGHIERI","053004","Castel del Piano","053","GROSSETO","58033","0564","914568",,,,
"11109064204","HSP","STRUTTURA OSPEDALIERA","Ospedale Degli Infermi","Presidio Ospedaliero Asl 11 Empoli","090642","04","111","Az. USL 11 di Empoli","2015",01/01/2005,31/12/9999,"04616830487","Piazza XX Settembre","048014","Empoli","048","FIRENZE","56028","0571","2691","0571","708588","dirgen@usl11.toscana.it","www.usl11.toscana.it"
"10809061801","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DEL CASENTINO","OSPEDALE DEL CASENTINO","090618","01","108","Az. USL 8 di Arezzo","2015",01/01/1995,31/12/9999,"01458450515","VIALE FILIPPO TURATI","051004","Bibbiena","051","AREZZO","52011","0575","52411","0575","254275","urp@usl8.toscana.it","www.usl8.toscana.it"
"90709090702","HSP","STRUTTURA OSPEDALIERA","Ospedale del Cuore G. Pasquinucci","Fondazione CNR-RT G. Monasterio","090907","02","907","Fondaz. G. Monasterio","2015",01/01/2006,31/12/9999,"01851550507","Via Aurelia Sud - Montepepe","050026","Pisa","050","PISA","54100","050","3153731","050","3153766","protocollo.ftgm@pec.it","http://www.ftgm.it/"
"10709063801","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DELL'ALTA VAL D'ELSA","OSPEDALE DELL'ALTA VAL D'ELSA","090638","01","107","Az. USL 7 di Siena","2015",01/10/2000,31/12/9999,"00388720522","LOC. CAMPOSTAGGIA","052022","Poggibonsi","052","SIENA","53036","0577","9941","0577","994234","l.tonelli@usl7.toscana.it","http://www.usl7.toscana.it/"
"10909062601","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DELLA MISERICORDIA","OSPEDALE DELLA MISERICORDIA GROSSETO","090626","01","109","Az. USL 9 di Grosseto","2015",01/11/1974,,"00315940536","VIA SENESE, 169 - GROSSETO","053011","Grosseto","053","GROSSETO","58100","0564","485111",,,,
"10309060701","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DELLA VALDINIEVOLE","OSPEDALE DELLA VALDINIEVOLE","090607","01","103","Az. USL 3 di Pistoia","2015",01/01/1984,31/12/9999,"01241740479","V. CESARE BATTISTI","047012","Pescia","047","PISTOIA","51017","0572","4601",,,,
"10809061901","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DELLA VALTIBERINA","OSPEDALE DELLA VALTIBERINA","090619","01","108","Az. USL 8 di Arezzo","2015",01/01/1995,31/12/9999,"01458450515","VIA SANTI DI TITO 24","051034","Sansepolcro","051","AREZZO","52037","0575","7311","0575","254275","urp@usl8.toscana.it","www.usl8.toscana.it"
"11009062701","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DI BORGO SAN LORENZO","OSPEDALE DI BORGO SAN LORENZO","090627","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"04612810483","VIALE DELLA RESISTENZA","048004","Borgo San Lorenzo","048","FIRENZE","50032","055","84511","055","8451361","paola.leoni@asf.toscana.it","www.asf.toscana.it"
"10909062402","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DI ORBETELLO","OSPEDALE DELLE COLLINE DELL'ALBEGNA","090624","02","109","Az. USL 9 di Grosseto","2015",01/01/1995,,"00315940536","LUNGOLAGO DEI PESCATORI","053018","Orbetello","053","GROSSETO","58015","0564","869111",,,,
"10909062403","HSP","STRUTTURA OSPEDALIERA","OSPEDALE DI PITIGLIANO","OSPEDALE DELLE COLLINE DELL'ALBEGNA","090624","03","109","Az. USL 9 di Grosseto","2015",01/01/1995,,"00315940536","VIA N.CIACCI, 30","053018","Orbetello","053","GROSSETO","58017","0564","618111",,,,
"10609061301","HSP","STRUTTURA OSPEDALIERA","OSPEDALE LIVORNO","OSPEDALE LIVORNO","090613","01","106","Az. USL 6 di Livorno","2015",01/01/1980,31/12/9999,"00615860491","VIALE ALFIERI","049009","Livorno","049","LIVORNO","57100","0586","223111","0586","223429","u.dirsanpo@usl6.toscana.it","www.usl6.toscana.it"
"10309060602","HSP","STRUTTURA OSPEDALIERA","OSPEDALE LORENZO PACINI","SPEDALI RIUNITI","090606","02","103","Az. USL 3 di Pistoia","2015",01/01/1984,31/12/9999,"01241740479","V. PACINI N. 17 S. MARCELLO","047014","Pistoia","047","PISTOIA","51028","0573","631163",,,,
"10809064101","HSP","STRUTTURA OSPEDALIERA","OSPEDALE NUOVO VALDARNO","OSPEDALE NUOVO VALDARNO","090641","01","108","Az. USL 8 di Arezzo","2015",01/10/2002,31/12/9999,"01458450515","LOC. GRUCCIA","051026","Montevarchi","051","AREZZO","52025","055","91061","0575","254275","urp@usl8.toscana.it","www.usl8.toscana.it"
"10609061401","HSP","STRUTTURA OSPEDALIERA","OSPEDALE PIOMBINO","OSPEDALE PIOMBINO","090614","01","106","Az. USL 6 di Livorno","2015",01/01/1968,31/12/9999,"00615860491","VIA FORLANINI, 24","049012","Piombino","049","LIVORNO","57025","0565","67111","0565","67302","direzionepo.pb@sud.usl6.toscana.it","www.usl6.toscana.it"
"10609061501","HSP","STRUTTURA OSPEDALIERA","OSPEDALE PORTOFERRAIO","OSPEDALE DI PORTOFERRAIO","090615","01","106","Az. USL 6 di Livorno","2015",01/01/1980,31/12/9999,"00615860491","LOC. S. ROCCO","049014","Portoferraio","049","LIVORNO","57027","0565","926111","0565","926726","dirsanitaria.elba@sud.usl6.toscana.it","www.usl6.toscana.it"
"10909062301","HSP","STRUTTURA OSPEDALIERA","OSPEDALE  S.ANDREA  MASSA MARITTIMA","OSPEDALE  S.ANDREA   MASSA MARITTIMA","090623","01","109","Az. USL 9 di Grosseto","2015",01/01/1995,31/12/9999,"00315940536","VIA RISORGIMENTO,43 - MASSA MARITTIMA","053015","Massa Marittima","053","GROSSETO","58024","0566","909111","0566","909111","dirgen@usl9.toscana.it","usl9.grosseto.it"
"10209060302","HSP","STRUTTURA OSPEDALIERA","OSPEDALE SAN FRANCESCO","PRESIDIO OSPEDALIERO VALLE DEL SERCHIO","090603","02","102","Az. USL 2 di Lucca","2015",01/01/1988,31/12/9999,"00559320460","VIA FRATI-BARGA","046009","Castelnuovo di Garfagnana","046","LUCCA","55051","0583","7290",,,,
"10309060601","HSP","STRUTTURA OSPEDALIERA","OSPEDALE SAN JACOPO","SPEDALI RIUNITI","090606","01","103","Az. USL 3 di Pistoia","2015",01/01/1984,31/12/9999,"01241740479","Via Ciliegiole, 97","047014","Pistoia","047","PISTOIA","51100","0573","3521",,,"r.abati@usl3.toscana.it","www.usl3.toscana.it"
"11109064203","HSP","STRUTTURA OSPEDALIERA","Ospedale San Pietro Igneo","Presidio Ospedaliero Asl 11 Empoli","090642","03","111","Az. USL 11 di Empoli","2015",01/01/2005,31/12/9999,"04616830487","Piazza Lavagnini","048014","Empoli","048","FIRENZE","50054","0571","2691","0571","708420","dirgen@usl11.toscana.it","www.usl11.toscana.it"
"10209060301","HSP","STRUTTURA OSPEDALIERA","OSPEDALE SANTA CROCE","PRESIDIO OSPEDALIERO VALLE DEL SERCHIO","090603","01","102","Az. USL 2 di Lucca","2015",01/01/1988,31/12/9999,"00559320460","VIA DELL'OSPEDALE,1-CASTELNUOVO DI GARF.","046009","Castelnuovo di Garfagnana","046","LUCCA","55032","0583","6691",,,,
"11109064201","HSP","STRUTTURA OSPEDALIERA","Ospedale Santa Verdiana","Presidio Ospedaliero Asl 11 Empoli","090642","01","111","Az. USL 11 di Empoli","2015",01/01/2005,31/12/9999,"04616830487","Via Dei Mille","048014","Empoli","048","FIRENZE","50051","0571","6831","0571","703868","dirgen@usl11.toscana.it","www.usl11.toscana.it"
"11009062902","HSP","STRUTTURA OSPEDALIERA","OSPEDALE SERRISTORI","OSPEDALE FIORENTINO SUD-EST","090629","02","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"04612810483","PIAZZA XXV APRILE 10","048001","Bagno A Ripoli","048","FIRENZE","50063","055","95081","055","9508412","info.stampa@asf.toscana.it","www.asf.toscana.it"
"11109064202","HSP","STRUTTURA OSPEDALIERA","Ospedale S. Giuseppe","Presidio Ospedaliero Asl 11 Empoli","090642","02","111","Az. USL 11 di Empoli","2015",01/01/2005,31/12/9999,"04616830487","Viale Boccaccio","048014","Empoli","048","FIRENZE","50053","0571","7021","0571","702219","dirgen@usl11.toscana.it","www.usl11.toscana.it"
"11009062901","HSP","STRUTTURA OSPEDALIERA","OSPEDALE S.M.ANNUNZIATA","OSPEDALE FIORENTINO SUD-EST","090629","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"04612810483","VIA DELL'ANTELLA 58","048001","Bagno A Ripoli","048","FIRENZE","50012","055","69361","055","6936306","dirsan.osma@asf.toscana.it","www.asf.toscana.it"
"11209064001","HSP","STRUTTURA OSPEDALIERA","OSPEDALE VERSILIA","OSPEDALE VERSILIA","090640","01","112","Az. USL 12 di Viareggio","2015",01/05/2002,31/12/9999,"00523180461","VIA AURELIA, 335","046005","Camaiore","046","LUCCA","55043","0584","6051","0584","6059483",,"www.usl12.toscana.it"
